"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL231568";"";"0";"507.98";"2";"5.24";"22";"CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1";"IC50";"'='";"13700";"nM";"4.86";"";"";"UO_0000065";"9.57";"0.18";"-0.38";"4.78";"False";"CHEMBL895916";"Inhibition of cMet kinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148766";"1";"Scientific Literature";"J. Med. Chem.";"2007";""
"CHEMBL1823480";"";"0";"419.53";"1";"5.14";"Table S3, 90";"O=C(Cc1ccccc1)NC(=S)Nc2ccc(Oc3ccnc4ccsc34)cc2";"IC50";"'='";"140";"nM";"6.85";"";"";"UO_0000065";"16.34";"0.32";"1.71";"10.84";"False";"CHEMBL1826790";"Inhibition of human c-MET";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821609";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL1824872";"";"0";"512.7";"2";"5.91";"14e";"CC(C)(C)c1ccc(COc2cc(cnc2N)c3ccc(cc3)C(=O)N4CCC[C@@H]4CN5CCCC5)cc1";"IC50";"'='";"8530";"nM";"5.07";"";"";"UO_0000065";"9.89";"0.18";"-0.84";"7.07";"False";"CHEMBL1826482";"Inhibition of human recombinant c-MET kinase expressed in A549 cells assessed as inhibition of HGF-induced autophosphorylation by ELISA method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"A549";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821723";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307651"
"CHEMBL453613";"";"0";"542.6";"2";"6.59";"Table S1, 70";"CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6)cc4F)c3s2";"IC50";"'='";"25";"nM";"7.6";"";"";"UO_0000065";"14.01";"0.27";"1.01";"8.21";"False";"CHEMBL1826790";"Inhibition of human c-MET";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821609";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL1802836";"";"0";"485.54";"0";"2.81";"66";"COCC(F)Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N(C)C)cc4C(=O)c3c2";"IC50";"'='";"3";"nM";"8.52";"";"";"UO_0000065";"17.55";"0.34";"5.71";"8.01";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1807757";"";"0";"314.3";"0";"1.95";"9a";"COC(=O)c1cccc(OC2=C(\C=C\C(=O)C)C(=O)NC=N2)c1";"IC50";"'='";"4010";"nM";"5.4";"";"";"UO_0000065";"17.17";"0.32";"3.45";"5.49";"False";"CHEMBL1810157";"Inhibition of recombinant MET using biotinylated-poly(GT) peptide as substrate after 60 mins";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806450";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1796172";"";"0";"352.31";"0";"1.72";"1";"[O-][N+](=O)c1ccc(cc1)C(=O)NNC(=O)C(=O)c2c[nH]c3ccccc23";"IC50";"'='";"69000";"nM";"4.16";"";"";"UO_0000065";"11.81";"0.22";"2.44";"3.1";"False";"CHEMBL1798372";"Inhibition of c-MET assessed as incorporation of p33 using [gammaP33]-ATP by microplate scintillation counting";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1795330";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL73288";"";"0";"312.76";"0";"3.32";"3c";"Clc1ccc(CNC(=O)C(=O)c2c[nH]c3ccccc23)cc1";"IC50";"'>'";"100000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1798372";"Inhibition of c-MET assessed as incorporation of p33 using [gammaP33]-ATP by microplate scintillation counting";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1795330";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2011";""
"CHEMBL1802597";"";"0";"378.41";"0";"2.58";"42";"CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cncnc4";"IC50";"'='";"180";"nM";"6.75";"";"";"UO_0000065";"17.82";"0.34";"4.16";"6.62";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1802595";"";"0";"377.43";"0";"3.18";"40";"CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4ccncc4";"IC50";"'='";"30";"nM";"7.52";"";"";"UO_0000065";"19.93";"0.38";"4.34";"8.45";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
