mol_id,smiles,pIC50
CHEMBL231568,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1,4.86
CHEMBL1823480,O=C(Cc1ccccc1)NC(=S)Nc2ccc(Oc3ccnc4ccsc34)cc2,6.85
CHEMBL1824872,CC(C)(C)c1ccc(COc2cc(cnc2N)c3ccc(cc3)C(=O)N4CCC[C@@H]4CN5CCCC5)cc1,5.07
CHEMBL453613,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.6
CHEMBL1802836,COCC(F)Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N(C)C)cc4C(=O)c3c2,8.52
CHEMBL1807757,COC(=O)c1cccc(OC2=C(\C=C\C(=O)C)C(=O)NC=N2)c1,5.4
CHEMBL1796172,[O-][N+](=O)c1ccc(cc1)C(=O)NNC(=O)C(=O)c2c[nH]c3ccccc23,4.16
CHEMBL1802597,CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cncnc4,6.75
CHEMBL1802595,CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4ccncc4,7.52
CHEMBL1802594,CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4ccc(Cl)cc4,7.34
CHEMBL1802591,CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)N4CCN(CC4)c5cccnc5,7.8
CHEMBL1800104,Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N5CCOCC5)cc4C(=O)c3c2,6.0
CHEMBL1802910,CN(Cc1ccccc1)S(=O)(=O)Nc2ccc3C=Cc4ncc(cc4C(=O)c3c2)c5cnn(C)c5,5.92
CHEMBL1800104,Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N5CCOCC5)cc4C(=O)c3c2,7.24
CHEMBL1802908,CCN(CC)S(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cnn(C)c4,8.4
CHEMBL1766522,CN1CCN(CC1)c2cnc3cccc(c4ccc5ccccc5c4)c3c2,5.24
CHEMBL1766528,CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F,9.03
CHEMBL1766533,CCN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)C#N)c3c2)C(F)(F)F,8.25
CHEMBL508403,Fc1cc(NC(=O)c2cccc(n2)c3ccccc3)ccc1Oc4ccnc5[nH]ccc45,6.33
CHEMBL453850,Fc1ccc(CN2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)cc1,8.09
CHEMBL477197,Oc1cc2C[C@@]3(O)COc4c(O)c(O)ccc4[C@H]3c2cc1O,6.4
CHEMBL518174,COc1ccc2c(Oc3ccc(NC(=O)C4=C(C)N(C[C@@H](C)O)N(C4=O)c5ccccc5)cc3F)ccnc2c1,7.62
CHEMBL1766534,CCN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(O)c4)c3c2)C(F)(F)F,6.64
CHEMBL1766536,CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(F)c4)c3c2)C(F)(F)F,6.35
CHEMBL1834657,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2.OP(=O)(O)O,5.52
CHEMBL1760035,COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC,5.68
CHEMBL398610,CCOc1cccc2c1c(\C=C\3/C(=O)NN=C3c4snnc4C)cn2C,5.43
CHEMBL503016,CNC(=O)N1CCN(Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3)CC1,7.8
CHEMBL508395,CN(CCN1CCN(C)CC1)Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3,7.55
