SMILES,Score,PriorLogP,CMET_score,EGFR_score,DELTA
Fc1cscc1Nc1nncnc1N1CN(C(C)C)CC1C,1074.08,-81.82,7.130177485964328,6.75067049383623,-0.379506992128098
Fc1nscc1Nc1nncnc1N1CN(C(C)C)CC1C,1048.35,-88.91,7.290512200022199,6.795267203841911,-0.49524499618028806
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1C,1200.8,-84.11,7.06360118992119,6.927915355281971,-0.13568583463921868
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1048.12,-94.62,6.763483582652074,6.809130828974944,0.045647246322870316
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-88.04,7.258233295710139,7.065452346019993,-0.19278094969014603
Cc1ccsc1Nc1nnncc1N1CN(C(C)C)C1,1080.22,-109.35,6.761414506016859,7.1735682029408485,0.4121536969239896
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1201.7,-101.2,6.863507451437453,7.14437549319961,0.2808680417621572
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-99.21,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1,1127.59,-97.25,6.894321242208084,7.002667797401256,0.10834655519317149
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)C1,952.84,-100.85,6.72912954933955,6.976924026888144,0.2477944775485934
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-85.01,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-86.44,7.240459092019092,7.110999925989043,-0.12945916603004903
Cc1cscc1Nc1nncnc1N1CN(C(C)C)CC1C,1071.07,-68.72,6.853414659835485,6.738569913077121,-0.1148447467583642
Cc1ccncc1Nc1nnncc1N1CN(C(C)C)C1C,1082.28,-73.15,6.8069410142454725,6.801974607198357,-0.004966407047115595
